net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	public	activity	size	credit.score	Cluster
61504624.0	58328824.0	744260.0	154547.0	121607.0	121607.0	2255147.0	2409694.0	1783569.0	17130922.0	9939597.0	2840928.0	260022.0	451593.0	16091987.0	3403814.0	3403814.0	2170.0	6242572.0	5188897.0	1842460.0	-948459.0	0.0	1.0	71.0	A	C4
5969793.0	3882100.0	1541569.0	1026720.0	58763.0	58763.0	-482218.0	544502.0	-543782.0	15231777.0	9872068.0	3942829.0	102813.0	14483487.0	705556.0	932437.0	932437.0	25736.0	4855266.0	368896.0	471358.0	428455.0	0.0	1.0	73.0	E	C1
7899973.0	7303484.0	396812.0	40893.0	7495.0	7495.0	181443.0	222336.0	144386.0	2429786.0	2238696.0	0.0	58445.0	886708.0	1542422.0	191090.0	191090.0	0.0	191090.0	894124.0	185279.0	114062.0	0.0	0.0	71.0	A	C4
5293733.0	4206207.0	330920.0	280711.0	32484.0	32484.0	475750.0	756461.0	379406.0	5136381.0	3641019.0	1068892.0	518217.0	1649177.0	3469347.0	426470.0	426470.0	888499.0	606863.0	1639952.0	622842.0	272035.0	0.0	0.0	71.0	A	C7
12528557.0	11728337.0	355347.0	46361.0	11889.0	11889.0	391610.0	437971.0	330871.0	3521022.0	1548412.0	0.0	630491.0	359586.0	3157013.0	1939101.0	1939101.0	1676.0	1939101.0	2073313.0	371706.0	708411.0	0.0	0.0	71.0	A	C4
13902751.0	13038076.0	516060.0	14740.0	113433.0	0.0	300534.0	315274.0	286063.0	9404117.0	944369.0	412643.0	1065987.0	155018.0	9249099.0	7975479.0	7975479.0	0.0	8388122.0	96823.0	300803.0	3380057.0	0.0	1.0	77.0	E	C3
11853299.0	7700750.0	2882239.0	555862.0	260299.0	260299.0	403011.0	958873.0	143739.0	15451873.0	3263156.0	5025905.0	3365.0	6053173.0	9374618.0	6653111.0	6653111.0	687432.0	10991584.0	6272184.0	699601.0	1279683.0	0.0	1.0	67.0	E	C2
115856592.0	36903200.0	43459944.0	15989010.0	11280117.0	5624167.0	2303047.0	18292056.0	-1717275.0	176510848.0	41060180.0	98921480.0	11176132.0	156071632.0	15478563.0	20998852.0	20940154.0	24901472.0	95019720.0	1055566.0	13774691.0	16982754.0	0.0	2.0	82.0	E	C1
4742009.0	3312690.0	901232.0	239647.0	34532.0	34532.0	276575.0	516222.0	203933.0	3385994.0	860807.0	748975.0	219480.0	1357585.0	2024629.0	1021455.0	973222.0	797208.0	973222.0	6818.0	331699.0	466172.0	0.0	0.0	78.0	A	C6
8459015.0	7620828.0	288402.0	103366.0	76522.0	76522.0	444519.0	547885.0	326660.0	4797383.0	2770628.0	1130127.0	265129.0	2180596.0	2610074.0	896628.0	896628.0	746348.0	1280407.0	1310586.0	414755.0	631634.0	0.0	0.0	71.0	A	C5
